ref	value	sheet path	location
C1	10uF/16v	/	A1)
C2	100n	/	B1)
C3	47uF/6.3v	/	B1)
C4	10nF	/	B1)
C5	33p	/	B2)
C6	100nF	/	B2)
C7	1nF	/	B2)
C8	100nF	/	B2)
C9	15p	/	B2)
C10	100nF	/	B2)
C11	100nF	/	B2)
C12	2.2uF	/	B2)
C13	100nF	/	B2)
C14	15p	/	B2)
C15	1nF	/	B2)
C16	2.2uF	/	B2)
C17	10p	/	B2)
C18	10p	/	B2)
C19	100nF	/	B2)
C20	100nF	/	C2)
C21	100nF	/	C3)
C22	100nF	/	C3)
C23	154	/analogue/	A1)
C24	154	/analogue/	B1)
C25	154	/analogue/	A2)
C26	154	/analogue/	B2)
C27	154	/analogue/	A3)
C28	154	/analogue/	B3)
C29	154	/analogue/	A4)
C30	154	/analogue/	B4)
C31	390pF	/agc/	A4)
C32	390pF	/agc/	A4)
C33	390pF	/agc/	A4)
C34	390pF	/agc/	B4)
C35	390pF	/agc/	C4)
C36	390pF	/agc/	C4)
C37	390pF	/agc/	C4)
C38	390pF	/agc/	B4)
D1	DIODESCH	/	A1)
D2	LED	/	B1)
IC1	LM1117	/	B1)
IC2	MCP120/130	/	A2)
IC3	AT91SAM7S512/256/128/64/321-AU	/	B3)
IC4	AD8054	/agc/	A1)
IC5	AD8054	/agc/	C1)
IC6	AD5204	/agc/	A2)
IC7	AD5204	/agc/	C2)
IC8	AD8054	/agc/	A3)
IC9	AD8054	/agc/	C3)
J1	J3MM	/	A2)
J2	J3MM	/	A3)
P1	CONN_10X2	/	A2)
P2	CONN_10X2	/	A5)
P3	CONN_2	/	C5)
Q1	BC848	/analogue/	A1)
Q2	BC848	/analogue/	B1)
Q3	BC848	/analogue/	A2)
Q4	BC848	/analogue/	B2)
Q5	BC848	/analogue/	A3)
Q6	BC848	/analogue/	B3)
Q7	BC848	/analogue/	A4)
Q8	BC848	/analogue/	B4)
R1	240/1%	/	B1)
R2	390/1%	/	B1)
R3	47K	/	A1)
R4	47K	/	A1)
R5	1K	/	B1)
R6	47K	/	A1)
R7	47K	/	A1)
R8	47K	/	A1)
R9	1.5K	/	B2)
R10	27	/	B2)
R11	27	/	B2)
R12	10K	/	A2)
R13	400K	/analogue/	A1)
R14	400K	/analogue/	B1)
R15	10K	/analogue/	A1)
R16	10K	/analogue/	B1)
R17	10K	/analogue/	A1)
R18	10K	/analogue/	B1)
R19	5K	/analogue/	A1)
R20	5K	/analogue/	A1)
R21	5K	/analogue/	B1)
R22	5K	/analogue/	B1)
R23	400K	/analogue/	A2)
R24	400K	/analogue/	B2)
R25	10K	/analogue/	A2)
R26	10K	/analogue/	B2)
R27	10K	/analogue/	A2)
R28	10K	/analogue/	B2)
R29	5K	/analogue/	A2)
R30	5K	/analogue/	A2)
R31	5K	/analogue/	B2)
R32	5K	/analogue/	B2)
R33	400K	/analogue/	A3)
R34	400K	/analogue/	B3)
R35	10K	/analogue/	A3)
R36	10K	/analogue/	B3)
R37	10K	/analogue/	A3)
R38	10K	/analogue/	B3)
R39	5K	/analogue/	A3)
R40	5K	/analogue/	A3)
R41	5K	/analogue/	B3)
R42	5K	/analogue/	B3)
R43	400K	/analogue/	A4)
R44	400K	/analogue/	B4)
R45	10K	/analogue/	A4)
R46	10K	/analogue/	B4)
R47	10K	/analogue/	A4)
R48	10K	/analogue/	B4)
R49	5K	/analogue/	A4)
R50	5K	/analogue/	A4)
R51	5K	/analogue/	B4)
R52	5K	/analogue/	B4)
R53	5K	/agc/	A1)
R54	5K	/agc/	A1)
R55	5K	/agc/	A1)
R56	5K	/agc/	A1)
R57	5K	/agc/	B1)
R58	5K	/agc/	B1)
R59	5K	/agc/	B1)
R60	5K	/agc/	C1)
R61	5K	/agc/	C1)
R62	5K	/agc/	C1)
R63	5K	/agc/	A1)
R64	5K	/agc/	A1)
R65	5K	/agc/	A1)
R66	5K	/agc/	A1)
R67	5K	/agc/	B1)
R68	5K	/agc/	B1)
R69	5K	/agc/	B3)
R70	5K	/agc/	C3)
R71	5K	/agc/	B3)
R72	5K	/agc/	C3)
R73	5K	/agc/	B3)
R74	5K	/agc/	C3)
R75	5K	/agc/	B3)
R76	5K	/agc/	C3)
R77	100	/agc/	A4)
R78	100	/agc/	A4)
R79	100	/agc/	A4)
R80	100	/agc/	B4)
R81	100	/agc/	B4)
R82	100	/agc/	C4)
R83	100	/agc/	C4)
R84	100	/agc/	B4)
U1	R78XX	/	C5)
VD1	BPW41N	/analogue/	A1)
VD2	BPW41N	/analogue/	B1)
VD3	BPW41N	/analogue/	A2)
VD4	BPW41N	/analogue/	B2)
VD5	BPW41N	/analogue/	A3)
VD6	BPW41N	/analogue/	B3)
VD7	BPW41N	/analogue/	A4)
VD8	BPW41N	/analogue/	B4)
X1	USB-B-H	/	B1)
X2	18.432	/	B2)
